"","DEgenes"
"934","PP_4565"
"935","PP_4577"
"936","PP_4593"
"937","PP_4617"
"938","PP_4624"
"939","PP_4635"
"940","PP_4642"
"941","PP_4643"
"942","PP_4649"
"943","PP_4650"
"944","PP_4677"
"945","PP_4680"
"946","PP_4700"
"947","PP_4702"
"948","PP_4704"
"949","PP_4708"
"950","PP_4709"
"951","PP_4712"
"952","PP_4713"
"953","PP_4714"
"954","PP_4722"
"955","PP_4723"
"956","PP_4724"
"957","PP_4725"
"958","PP_4726"
"959","PP_4727"
"960","PP_4742"
"961","PP_4756"
"962","PP_4758"
"963","PP_4763"
"964","PP_4794"
"965","PP_4795"
"966","PP_4808"
"967","PP_4810"
"968","PP_4862"
"969","PP_4864"
"970","PP_4865"
"971","PP_4866"
"972","PP_4867"
"973","PP_4872"
"974","PP_4874"
"975","PP_4875"
"976","PP_4876"
"977","PP_4877"
"978","PP_4882"
"979","PP_4888"
"980","PP_4889"
"981","PP_4890"
"982","PP_4909"
"983","PP_4938"
"984","PP_4941"
"985","PP_4942"
"986","PP_4943"
"987","PP_4944"
"988","PP_4963"
"989","PP_4964"
"990","PP_4965"
"991","PP_4976"
"992","PP_4977"
"993","PP_4980"
"994","PP_5000"
"995","PP_5013"
"996","PP_5023"
"997","PP_5024"
"998","PP_5044"
"999","PP_5047"
"1000","PP_5053"
"1001","PP_5085"
"1002","PP_5096"
"1003","PP_5097"
"1004","PP_5099"
"1005","PP_5103"
"1006","PP_5104"
"1007","PP_5111"
"1008","PP_5120"
"1009","PP_5122"
"1010","PP_5130"
"1011","PP_5148"
"1012","PP_5197"
"1013","PP_5199"
"1014","PP_5200"
"1015","PP_5206"
"1016","PP_5214"
"1017","PP_5223"
"1018","PP_5264"
"1019","PP_5282"
"1020","PP_5286"
"1021","PP_5288"
"1022","PP_5295"
"1023","PP_5302"
"1024","PP_5303"
"1025","PP_5304"
"1026","PP_5320"
"1027","PP_5323"
"1028","PP_5335"
"1029","PP_5341"
"1030","PP_5352"
"1031","PP_5358"
"1032","PP_5383"
"1033","PP_5409"
"1034","PP_5412"
"1035","PP_5413"
"1036","PP_5414"
"1037","PP_5415"
"1038","PP_5416"
"1039","PP_5417"
"1040","PP_5418"
"1041","PP_5419"
"1042","PP_5433"
"1043","PP_5444"
"1044","PP_5451"
"1045","PP_5457"
"1046","PP_5482"
"1047","PP_5514"
"1048","PP_5536"
"1049","PP_5587"
"1050","PP_5589"
"1051","PP_5602"
"1052","PP_5613"
"1053","PP_5659"
"1054","PP_5747"
"1055","PP_2560"
"1056","PP_0249"
"1057","PP_0855"
"1058","PP_0805"
"1059","PP_0465"
"1060","PP_0778"
"1061","PP_2379"
"1062","PP_0600"
"1063","PP_1522"
"1064","PP_0280"
"1065","PP_2559"
"1066","PP_1307"
"1067","PP_4863"
"1068","PP_1323"
"1069","PP_3815"
"1070","PP_1398"
"1071","PP_4796"
"1072","PP_5308"
"1073","PP_4728"
"1074","PP_0979"
"1075","PP_1876"
"1076","PP_1204"
"1077","PP_2512"
"1078","PP_4815"
"1079","PP_0685"
"1080","PP_3812"
"1081","PP_1222"
"1082","PP_1235"
"1083","PP_4309"
"1084","PP_2732"
"1085","PP_4285"
"1086","PP_3516"
"1087","PP_0458"
"1088","PP_1822"
"1089","PP_5467"
"1090","PP_4711"
"1091","PP_2094"
"1092","PP_1789"
"1093","PP_2984"
"1094","PP_1147"
"1095","PP_1088"
"1096","PP_5718"
"1097","PP_4940"
"1098","PP_0378"
"1099","PP_0932"
"1100","PP_0281"
"1101","PP_2598"
"1102","PP_0651"
"1103","PP_1525"
"1104","PP_2466"
"1105","PP_0290"
"1106","PP_3007"
"1107","PP_3452"
"1108","PP_3463"
"1109","PP_1368"
"1110","PP_0199"
"1111","PP_0936"
"1112","PP_1858"
"1113","PP_4056"
"1114","PP_1465"
"1115","PP_3496"
"1116","PP_0260"
"1117","PP_1766"
"1118","PP_0425"
"1119","PP_0614"
"1120","PP_3748"
"1121","PP_3098"
"1122","PP_5460"
"1123","PP_0271"
"1124","PP_0975"
"1125","PP_5107"
"1126","PP_1664"
"1127","PP_1765"
"1128","PP_0417"
"1129","PP_4799"
"1130","PP_2405"
"1131","PP_0066"
"1132","PP_3610"
"1133","PP_5022"
"1134","PP_0453"
"1135","PP_2147"
"1136","PP_3096"
"1137","PP_5339"
"1138","PP_5336"
"1139","PP_0067"
"1140","PP_3352"
"1141","PP_5405"
"1142","PP_1619"
"1143","PP_0389"
"1144","PP_4280"
"1145","PP_4425"
"1146","PP_4809"
"1147","PP_2195"
"1148","PP_0694"
"1149","PP_4610"
"1150","PP_4679"
"1151","PP_5675"
"1152","PP_2870"
"1153","PP_3074"
"1154","PP_5112"
"1155","PP_1790"
"1156","PP_1921"
"1157","PP_2602"
"1158","PP_5190"
"1159","PP_2511"
"1160","PP_4958"
"1161","PP_5561"
"1162","PP_3816"
"1163","PP_4015"
"1164","PP_3216"
"1165","PP_0708"
"1166","PP_0673"
"1167","PP_0528"
"1168","PP_4427"
"1169","PP_4199"
"1170","PP_1605"
"1171","PP_0153"
"1172","PP_2053"
"1173","PP_3010"
"1174","PP_0463"
"1175","PP_0615"
"1176","PP_4765"
"1177","PP_2707"
"1178","PP_3705"
"1179","PP_2926"
"1180","PP_5198"
"1181","PP_2946"
"1182","PP_5623"
"1183","PP_0009"
"1184","PP_1508"
"1185","PP_2545"
"1186","PP_3495"
"1187","PP_5542"
"1188","PP_0270"
"1189","PP_0807"
"1190","PP_2161"
"1191","PP_2603"
"1192","PP_1347"
"1193","PP_3677"
"1194","PP_2018"
"1195","PP_5126"
"1196","PP_0466"
"1197","PP_1673"
"1198","PP_2467"
"1199","PP_5454"
"1200","PP_0709"
"1201","PP_3485"
"1202","PP_5523"
"1203","PP_3185"
"1204","PP_3602"
"1205","PP_5410"
"1206","PP_0059"
"1207","PP_3660"
"1208","PP_0616"
"1209","PP_4055"
"1210","PP_1813"
"1211","PP_2298"
"1212","PP_3836"
"1213","PP_1968"
"1214","PP_4069"
"1215","PP_0373"
"1216","PP_3469"
"1217","PP_3832"
"1218","PP_2498"
"1219","PP_1135"
"1220","PP_4254"
"1221","PP_3916"
"1222","PP_2468"
"1223","PP_5031"
"1224","PP_2259"
"1225","PP_5087"
"1226","PP_1837"
"1227","PP_0689"
"1228","PP_3287"
"1229","PP_5645"
"1230","PP_3666"
"1231","PP_5030"
"1232","PP_3409"
"1233","PP_0761"
"1234","PP_1123"
"1235","PP_4470"
"1236","PP_0467"
"1237","PP_3115"
"1238","PP_1038"
"1239","PP_4109"
"1240","PP_1390"
"1241","PP_1441"
"1242","PP_1345"
"1243","PP_0619"
"1244","PP_1814"
"1245","PP_3984"
"1246","PP_0935"
"1247","PP_1735"
"1248","PP_4806"
"1249","PP_3851"
"1250","PP_0890"
"1251","PP_2868"
"1252","PP_5683"
"1253","PP_4859"
"1254","PP_0676"
"1255","PP_2257"
"1256","PP_1759"
"1257","PP_2406"
"1258","PP_0710"
"1259","PP_2370"
"1260","PP_4018"
"1261","PP_4733"
"1262","PP_5505"
"1263","PP_2418"
"1264","PP_1998"
"1265","PP_4652"
"1266","PP_5535"
"1267","PP_2086"
"1268","PP_4426"
"1269","PP_5382"
"1270","PP_1479"
"1271","PP_4449"
"1272","PP_0513"
"1273","PP_3580"
"1274","PP_1962"
"1275","PP_5232"
"1276","PP_5250"
"1277","PP_0394"
"1278","PP_1447"
"1279","PP_1151"
"1280","PP_2373"
"1281","PP_0529"
"1282","PP_5693"
"1283","PP_2465"
"1284","PP_2441"
"1285","PP_3978"
"1286","PP_1911"
"1287","PP_3471"
"1288","PP_5281"
"1289","PP_1212"
"1290","PP_0686"
"1291","PP_4705"
"1292","PP_1788"
"1293","PP_1915"
"1294","PP_4831"
"1295","PP_0720"
"1296","PP_2759"
"1297","PP_5574"
"1298","PP_1374"
"1299","PP_2088"
"1300","PP_5334"
"1301","PP_1841"
"1302","PP_0627"
"1303","PP_2263"
"1304","PP_2220"
"1305","PP_0556"
"1306","PP_1674"
"1307","PP_4312"
"1308","PP_2504"
"1309","PP_0617"
"1310","PP_4985"
"1311","PP_3725"
"1312","PP_1468"
"1313","PP_5317"
"1314","PP_0618"
"1315","PP_4252"
"1316","PP_2031"
"1317","PP_5705"
"1318","PP_4607"
"1319","PP_3284"
"1320","PP_2106"
"1321","PP_5664"
"1322","PP_5682"
"1323","PP_5699"
"1324","PP_3907"
"1325","PP_5462"
"1326","PP_3472"
"1327","PP_5029"
"1328","PP_2407"
"1329","PP_1168"
"1330","PP_5671"
"1331","PP_4609"
"1332","PP_5598"
"1333","PP_5632"
"1334","PP_0620"
"1335","PP_4013"
"1336","PP_5634"
"1337","PP_2733"
"1338","PP_5582"
"1339","PP_1099"
"1340","PP_3947"
"1341","PP_0022"
"1342","PP_0363"
"1343","PP_5586"
"1344","PP_5665"
"1345","PP_1306"
"1346","PP_2915"
"1347","PP_1305"
"1348","PP_3473"
"1349","PP_2186"
"1350","PP_5441"
"1351","PP_4054"
"1352","PP_4465"
"1353","PP_0596"
"1354","PP_5240"
"1355","PP_3343"
"1356","PP_2510"
"1357","PP_1521"
"1358","PP_0597"
"1359","PP_4045"
